period,state,price,sales
2024-03-01,Iowa,12.85,1148.62
2024-03-01,Indiana,14.53,2400.12
2024-03-01,Illinois,16.1,3077.35
2024-03-01,Idaho,11.07,832.88
2024-03-01,Hawaii,45.25,195.49
2024-03-01,Georgia,13.57,3954.81
2024-03-01,Florida,14.69,8963.92
2024-03-01,District of Columbia,17.65,176.75
2024-03-01,Delaware,16.6,443.9
2024-03-01,Connecticut,29.12,983.12
2024-03-01,Colorado,14.64,1543.81
2024-03-01,California,32.47,5918.23
2024-03-01,Arkansas,12.88,1205.05
2024-03-01,Arizona,14.95,2136.69
2024-03-01,Alaska,24.71,190.61
2024-03-01,Alabama,15.87,2062.75
2024-03-01,Ohio,16.28,3818.35
2024-03-01,North Dakota,10.44,480.59
2024-03-01,North Carolina,15.6,4085.0
2024-03-01,New York,23.64,3775.82
2024-03-01,New Mexico,14.49,480.69
2024-03-01,New Jersey,18.04,1825.92
2024-03-01,New Hampshire,22.43,382.82
2024-03-01,Nevada,16.82,768.96
2024-03-01,Nebraska,11.61,787.86
2024-03-01,Montana,12.22,522.3
2024-03-01,Missouri,12.56,2451.34
2024-03-01,Mississippi,14.24,1181.07
2024-03-01,Minnesota,14.69,1866.53
2024-03-01,Michigan,18.7,2571.98
2024-03-01,Tennessee,13.17,3068.4
2024-03-01,South Dakota,12.31,445.89
2024-03-01,South Carolina,14.88,2052.52
2024-03-01,Rhode Island,30.26,230.49
2024-03-01,Pennsylvania,17.6,5543.72
2024-03-01,Oregon,14.32,1776.25
2024-03-01,Oklahoma,11.83,1499.26
2024-03-01,U.S. Total,16.68,103974.49
2024-03-01,Pacific Noncontiguous,35.11,386.1
2024-03-01,Pacific Contiguous,22.94,11359.72
2024-03-01,Mountain,13.86,7370.91
2024-03-01,West South Central,14.08,13922.04
2024-03-01,East South Central,13.96,8228.88
2024-03-01,South Atlantic,15.03,25995.68
2024-03-01,West North Central,13.04,8038.05
2024-03-01,East North Central,16.48,13616.2
2024-03-01,Middle Atlantic,19.72,11145.47
2024-03-01,New England,27.6,3911.43
2024-03-01,Wyoming,11.68,279.34
2024-03-01,Wisconsin,16.96,1748.4
2024-03-01,West Virginia,15.31,864.88
2024-03-01,Washington,11.72,3665.24
2024-03-01,Virginia,14.72,3379.01
2024-03-01,Vermont,21.72,188.21
2024-03-01,Utah,11.0,806.24
2024-02-01,Rhode Island,30.97,247.67
2024-02-01,Idaho,11.26,872.04
2024-02-01,Hawaii,43.93,195.32
2024-02-01,Georgia,12.95,4776.34
2024-02-01,Florida,15.28,8871.49
2024-02-01,District of Columbia,17.1,204.41
2024-02-01,Delaware,15.73,463.24
2024-02-01,Connecticut,29.52,1053.54
2024-02-01,Iowa,12.15,1240.66
2024-02-01,Indiana,14.11,2876.18
2024-02-01,Illinois,15.72,3348.17
2024-02-01,Arizona,14.46,2194.99
2024-02-01,Alaska,22.88,210.5
2024-02-01,Alabama,14.98,2588.89
2024-02-01,Colorado,14.47,1621.53
2024-02-01,California,31.23,6305.04
2024-02-01,Arkansas,11.89,1686.97
2024-02-01,Maryland,17.6,2389.92
2024-02-01,Maine,24.95,473.61
2024-02-01,Louisiana,11.25,2331.22
2024-02-01,Kentucky,12.48,2314.06
2024-02-01,Kansas,13.74,991.66
2024-02-01,Pennsylvania,17.02,5972.39
2024-02-01,Oregon,14.23,1827.21
2024-02-01,Oklahoma,11.3,1738.95
2024-02-01,Ohio,15.77,4373.52
2024-02-01,North Dakota,10.5,469.35
2024-02-01,North Carolina,15.1,5042.03
2024-02-01,New York,24.23,4196.89
2024-02-01,New Mexico,14.14,561.55
2024-02-01,New Jersey,17.69,2150.49
2024-02-01,New Hampshire,23.76,417.05
2024-02-01,Nevada,16.69,801.15
2024-02-01,Nebraska,10.72,852.5
2024-02-01,Montana,11.96,612.08
2024-02-01,Missouri,11.43,2947.98
2024-02-01,Mississippi,13.19,1592.51
2024-02-01,Minnesota,14.36,1928.53
2024-02-01,Michigan,18.57,2578.06
2024-02-01,Massachusetts,29.25,1759.66
2024-02-01,U.S. Total,16.1,117715.6
2024-02-01,Pacific Noncontiguous,33.01,405.82
2024-02-01,Pacific Contiguous,22.3,11939.63
2024-02-01,Mountain,13.63,7791.95
2024-02-01,West South Central,13.36,17215.07
2024-02-01,East South Central,12.99,10729.96
2024-02-01,South Atlantic,14.76,29306.88
2024-02-01,West North Central,12.33,8921.63
2024-02-01,East North Central,16.06,14930.93
2024-02-01,Middle Atlantic,19.59,12319.78
2024-02-01,New England,27.99,4153.95
2024-02-01,Wyoming,11.47,293.15
2024-02-01,Wisconsin,16.93,1755.0
2024-02-01,West Virginia,13.98,1007.33
2024-02-01,Washington,11.4,3807.38
2024-02-01,Virginia,13.97,4026.31
2024-02-01,Vermont,21.22,202.41
2024-02-01,Utah,10.99,835.45
