period,state,price,sales
2023-07-01,District of Columbia,16.55,250.24
2023-07-01,Delaware,15.1,526.02
2023-07-01,Connecticut,26.63,1517.12
2023-07-01,Colorado,14.16,2137.76
2023-07-01,California,29.38,8308.81
2023-07-01,Arkansas,12.51,2005.6
2023-07-01,Arizona,14.12,5786.96
2023-07-01,Alaska,24.88,142.09
2023-07-01,Alabama,14.43,3623.51
2023-07-01,North Dakota,12.57,348.59
2023-07-01,North Carolina,12.7,6712.57
2023-07-01,New York,22.33,5575.64
2023-07-01,New Mexico,14.69,886.11
2023-07-01,New Jersey,18.47,3969.23
2023-07-01,New Hampshire,29.26,477.05
2023-07-01,Nevada,16.32,2153.33
2023-07-01,Nebraska,12.43,1018.01
2023-07-01,Montana,13.1,422.17
2023-07-01,Missouri,14.63,3824.8
2023-07-01,Mississippi,13.02,2145.08
2023-07-01,Minnesota,15.45,2113.46
2023-07-01,Michigan,19.32,3531.85
2023-07-01,Massachusetts,27.39,2009.0
2023-07-01,Maryland,16.03,2887.89
2023-07-01,Maine,27.79,411.63
2023-07-01,Louisiana,11.23,3774.32
2023-07-01,Kentucky,12.37,2676.05
2023-07-01,Kansas,13.7,1686.82
2023-07-01,Iowa,15.07,1434.6
2023-06-01,South Carolina,14.17,2658.42
2023-06-01,Delaware,16.0,385.09
2023-06-01,Connecticut,31.82,921.45
2023-06-01,Colorado,14.67,1553.21
2023-06-01,California,31.25,5972.45
2023-06-01,Arkansas,12.44,1546.96
2023-06-01,Arizona,14.28,3651.1
2023-06-01,Alaska,24.72,138.99
2023-06-01,Alabama,14.63,2874.06
2023-06-01,New York,21.71,3855.23
2023-06-01,New Mexico,13.89,622.09
2023-06-01,New Jersey,18.23,2555.34
2023-06-01,New Hampshire,29.78,341.2
2023-06-01,Nevada,17.39,1222.17
2023-06-01,Nebraska,12.06,893.2
2023-06-01,Montana,13.19,358.28
2023-06-01,Missouri,14.28,3109.0
2023-06-01,Mississippi,13.46,1687.57
2023-06-01,Minnesota,15.54,2037.7
2023-06-01,Michigan,19.26,2790.86
2023-06-01,Massachusetts,27.18,1447.27
2023-06-01,Maryland,16.99,1969.07
2023-06-01,Maine,27.61,339.91
2023-06-01,Louisiana,11.23,2953.89
2023-06-01,Kentucky,12.49,2002.53
2023-06-01,Kansas,13.54,1356.78
2023-06-01,Iowa,15.0,1268.27
2023-06-01,Indiana,14.67,2591.89
2023-06-01,Illinois,15.17,3956.22
2023-06-01,Idaho,11.78,636.87
2023-06-01,Hawaii,41.74,212.3
2023-06-01,Georgia,14.62,5239.67
2023-06-01,Florida,15.26,12459.43
2023-06-01,District of Columbia,16.45,194.47
2023-06-01,Rhode Island,25.97,232.05
2023-06-01,Pennsylvania,18.39,3739.37
2023-06-01,Oregon,13.08,1370.07
2023-06-01,Oklahoma,12.63,2202.06
2023-06-01,Ohio,16.35,3862.03
2023-06-01,North Dakota,12.3,357.75
2023-06-01,U.S. Total,16.11,121568.1
2023-06-01,Pacific Noncontiguous,35.01,351.28
2023-06-01,Pacific Contiguous,23.66,9819.83
2023-06-01,North Carolina,12.9,4946.61
2023-06-01,Mountain,14.21,9095.85
2023-06-01,West South Central,13.54,22384.47
2023-06-01,East South Central,13.25,9903.21
2023-06-01,South Atlantic,14.8,31904.85
2023-06-01,West North Central,14.21,9423.91
2023-06-01,East North Central,16.38,15094.89
2023-06-01,Middle Atlantic,19.61,10149.94
2023-06-01,New England,28.36,3439.86
2023-06-01,Wyoming,12.62,184.75
2023-06-01,Wisconsin,17.06,1893.89
2023-06-01,West Virginia,14.47,667.74
2023-06-01,Washington,11.21,2477.32
2023-06-01,Virginia,15.21,3384.35
2023-06-01,Vermont,21.0,157.98
2023-06-01,Utah,11.45,867.39
2023-06-01,Texas,14.22,15681.56
2023-06-01,Tennessee,12.42,3339.05
2023-06-01,South Dakota,13.19,401.22
2023-05-01,Rhode Island,26.9,175.97
2023-05-01,U.S. Total,16.15,100479.27
2023-05-01,Pacific Noncontiguous,34.98,362.33
2023-05-01,Pacific Contiguous,22.12,9747.22
2023-05-01,Mountain,13.93,8152.63
2023-05-01,Michigan,18.56,2338.43
2023-05-01,Massachusetts,29.07,1292.69
2023-05-01,Maryland,16.08,1663.99
2023-05-01,Maine,29.24,332.85
2023-05-01,Louisiana,11.69,2144.12
2023-05-01,Pennsylvania,18.45,3447.62
2023-05-01,Oregon,12.95,1402.44
2023-05-01,Oklahoma,11.83,1638.88
2023-05-01,Ohio,15.66,3434.9
2023-05-01,North Dakota,11.7,317.48
2023-05-01,North Carolina,13.22,3932.92
2023-05-01,New York,20.47,3385.86
2023-05-01,New Mexico,13.3,508.22
2023-05-01,New Jersey,17.17,1862.09
2023-05-01,New Hampshire,30.67,312.71
2023-05-01,Nevada,17.43,1077.87
2023-05-01,Nebraska,11.88,696.29
2023-05-01,Montana,12.82,383.76
2023-05-01,Missouri,12.46,2380.97
2023-05-01,Mississippi,14.09,1228.1
2023-05-01,Minnesota,15.16,1645.33
2023-05-01,Kentucky,12.53,1729.69
2023-05-01,Kansas,14.09,974.59
2023-05-01,West South Central,13.71,16229.65
2023-05-01,Iowa,14.18,999.96
2023-05-01,Indiana,15.12,2203.08
2023-05-01,Illinois,17.94,2934.56
2023-05-01,Idaho,10.79,626.63
2023-05-01,Hawaii,42.26,210.71
2023-05-01,Georgia,14.0,4204.01
2023-05-01,Florida,15.11,10805.64
2023-05-01,District of Columbia,16.97,151.98
2023-05-01,Delaware,16.65,278.81
2023-05-01,Connecticut,31.34,824.96
2023-05-01,Colorado,14.37,1462.07
2023-05-01,California,29.8,5596.66
2023-05-01,Arkansas,12.31,1169.58
2023-05-01,Arizona,14.3,3098.22
2023-05-01,Alaska,24.86,151.62
2023-05-01,Alabama,14.51,2227.49
2023-05-01,East South Central,13.27,7881.04
2023-05-01,South Atlantic,14.69,26511.17
2023-05-01,West North Central,13.45,7367.07
2023-05-01,East North Central,16.85,12446.01
2023-05-01,Middle Atlantic,18.96,8695.57
2023-05-01,New England,29.35,3086.57
2023-05-01,Wyoming,11.93,199.83
2023-05-01,Wisconsin,17.33,1535.03
2023-05-01,West Virginia,14.63,665.79
2023-05-01,Washington,11.17,2748.13
2023-05-01,Virginia,15.27,2619.69
2023-05-01,Vermont,21.03,147.39
2023-05-01,Utah,10.84,796.03
2023-05-01,Texas,14.51,11277.06
2023-05-01,Tennessee,12.34,2695.77
2023-05-01,South Dakota,12.99,352.44
2023-05-01,South Carolina,14.38,2188.34
2023-04-01,Connecticut,34.45,838.67
2023-04-01,U.S. Total,16.1,96541.92
2023-04-01,Pacific Noncontiguous,34.49,378.84
2023-04-01,Pacific Contiguous,21.27,10647.93
2023-04-01,Mountain,13.42,7270.55
2023-04-01,West South Central,13.45,13780.62
2023-04-01,East South Central,13.07,7624.26
2023-04-01,South Atlantic,14.73,25339.1
2023-04-01,West North Central,12.69,7331.66
2023-04-01,East North Central,16.55,12241.74
2023-04-01,Middle Atlantic,18.74,8694.6
2023-04-01,New England,31.1,3232.61
2023-04-01,Wyoming,11.21,252.93
2023-04-01,Wisconsin,16.87,1626.21
2023-04-01,West Virginia,14.41,690.58
2023-04-01,Washington,10.95,3252.0
2023-04-01,Virginia,14.65,2896.22
2023-04-01,Vermont,20.74,157.57
2023-04-01,Utah,10.84,756.22
2023-04-01,Texas,14.19,9393.12
2023-04-01,Tennessee,11.93,2840.07
2023-04-01,South Dakota,11.79,430.91
2023-04-01,South Carolina,14.3,2022.34
2023-04-01,Rhode Island,23.57,190.69
2023-04-01,Pennsylvania,18.36,3617.53
2023-04-01,Oregon,12.5,1625.72
2023-04-01,Oklahoma,12.39,1366.88
2023-04-01,Ohio,15.03,3383.51
2023-04-01,North Dakota,10.24,411.28
2023-04-01,North Carolina,13.21,3796.32
2023-04-01,New York,19.81,3401.31
2023-04-01,New Mexico,13.79,458.83
2023-04-01,New Jersey,17.39,1675.75
2023-04-01,New Hampshire,30.87,324.92
2023-04-01,Nevada,17.59,818.32
2023-04-01,Colorado,13.56,1414.87
2023-04-01,California,29.56,5770.22
2023-04-01,Arkansas,12.34,1117.35
2023-04-01,Arizona,14.11,2363.35
2023-04-01,Alaska,23.38,166.36
2023-04-01,Alabama,14.49,1975.33
2023-04-01,District of Columbia,15.24,167.21
2023-04-01,Nebraska,11.3,719.12
2023-04-01,Montana,12.28,472.42
2023-04-01,Missouri,12.0,2203.09
2023-04-01,Mississippi,14.08,1154.31
2023-04-01,Minnesota,14.54,1719.65
2023-04-01,Michigan,18.25,2334.76
2023-04-01,Massachusetts,32.06,1337.4
2023-04-01,Maryland,15.91,1727.16
2023-04-01,Maine,28.64,383.35
2023-04-01,Louisiana,11.17,1903.26
2023-04-01,Kentucky,12.61,1654.55
2023-04-01,Kansas,13.83,826.5
2023-04-01,Iowa,12.51,1021.11
2023-04-01,Indiana,15.08,2121.99
2023-04-01,Illinois,17.89,2775.28
2023-04-01,Idaho,10.24,733.62
2023-04-01,Hawaii,43.18,212.49
2023-04-01,Georgia,13.3,3773.76
2023-04-01,Florida,15.75,9934.1
2023-04-01,Delaware,15.49,331.42
2023-03-01,Indiana,16.01,2569.11
2023-03-01,New England,31.12,3855.06
2023-03-01,Wyoming,10.62,317.7
2023-03-01,Wisconsin,16.34,1904.76
2023-03-01,West Virginia,14.25,958.37
2023-03-01,Washington,10.78,4109.22
2023-03-01,Virginia,14.74,3488.26
2023-03-01,Vermont,20.38,189.54
2023-03-01,U.S. Total,15.91,110791.76
2023-03-01,Pacific Noncontiguous,34.23,412.0
2023-03-01,Pacific Contiguous,19.95,12712.28
2023-03-01,Mountain,13.06,7990.02
2023-03-01,West South Central,13.65,15257.84
2023-03-01,East South Central,13.18,8398.99
2023-03-01,South Atlantic,14.3,27569.55
2023-03-01,West North Central,12.16,9128.7
2023-03-01,East North Central,16.43,14889.89
2023-03-01,Middle Atlantic,19.09,10577.43
2023-03-01,Illinois,17.45,3335.66
2023-03-01,Idaho,10.09,925.51
2023-03-01,Hawaii,44.06,216.13
2023-03-01,Georgia,13.55,4128.12
2023-03-01,Florida,14.67,9530.22
2023-03-01,District of Columbia,15.92,177.02
2023-03-01,Delaware,15.34,425.79
2023-03-01,Connecticut,33.02,993.77
2023-03-01,Utah,10.86,872.07
2023-03-01,Texas,14.45,10343.27
2023-03-01,Tennessee,12.47,2993.52
2023-03-01,South Dakota,11.31,519.74
2023-03-01,Colorado,13.78,1660.04
2023-03-01,California,28.12,6558.84
2023-03-01,Arkansas,12.2,1292.58
2023-03-01,Arizona,13.61,2234.47
2023-03-01,Alaska,23.39,195.87
2023-03-01,Alabama,14.63,2188.24
2023-03-01,South Carolina,14.25,2164.28
2023-03-01,Rhode Island,27.93,235.51
2023-03-01,Pennsylvania,18.12,4544.86
2023-03-01,Oregon,12.17,2044.23
2023-03-01,Oklahoma,11.92,1624.44
2023-03-01,Ohio,14.9,4355.5
2023-03-01,North Dakota,9.72,555.27
2023-03-01,North Carolina,12.96,4497.81
2023-03-01,New York,21.2,3983.46
2023-03-01,New Mexico,13.35,533.03
2023-03-01,New Jersey,17.13,2049.11
2023-03-01,New Hampshire,30.31,395.53
2023-03-01,Nevada,17.11,847.61
2023-03-01,Nebraska,10.57,949.03
2023-03-01,Montana,12.14,599.59
2023-03-01,Missouri,11.65,2739.81
2023-03-01,Mississippi,13.99,1240.94
2023-03-01,Minnesota,13.76,2100.04
2023-03-01,Michigan,18.06,2724.86
2023-03-01,Massachusetts,32.39,1581.93
2023-03-01,Maryland,15.85,2199.67
2023-03-01,Maine,29.39,458.77
2023-03-01,Louisiana,11.84,1997.55
2023-03-01,Kentucky,12.14,1976.28
2023-03-01,Kansas,13.96,943.67
2023-03-01,Iowa,11.89,1321.15
2023-02-01,Utah,10.78,860.19
2023-02-01,Nebraska,10.25,926.31
2023-02-01,Montana,11.98,571.85
2023-02-01,Missouri,11.57,2881.25
2023-02-01,Mississippi,13.77,1432.91
2023-02-01,Minnesota,13.45,2014.97
2023-02-01,Michigan,17.82,2633.69
2023-02-01,Massachusetts,32.23,1648.86
2023-02-01,Maryland,16.21,2206.17
2023-02-01,Maine,26.33,491.76
2023-02-01,Louisiana,12.84,2155.32
2023-02-01,Kentucky,12.48,2122.05
2023-02-01,Kansas,14.71,971.27
2023-02-01,Iowa,11.6,1310.57
2023-02-01,Indiana,16.12,2674.64
2023-02-01,Illinois,17.12,3404.16
2023-02-01,Idaho,10.25,950.02
2023-02-01,Hawaii,44.24,195.35
2023-02-01,Georgia,13.6,4266.42
2023-02-01,Florida,15.86,8705.84
2023-02-01,District of Columbia,15.58,198.48
2023-02-01,Delaware,15.03,418.8
2023-02-01,Oregon,12.2,1999.89
2023-02-01,Oklahoma,11.56,1786.46
2023-02-01,Ohio,14.61,4048.98
2023-02-01,North Dakota,9.97,524.11
2023-02-01,North Carolina,13.08,4540.0
2023-02-01,New York,23.63,4059.98
2023-02-01,New Mexico,14.03,580.04
2023-02-01,New Jersey,16.99,2041.19
2023-02-01,New Hampshire,31.06,402.6
2023-02-01,Nevada,17.04,861.33
2023-02-01,U.S. Total,15.98,112543.13
2023-02-01,Pacific Noncontiguous,34.03,373.88
2023-02-01,Pacific Contiguous,19.38,12036.4
2023-02-01,Mountain,13.06,8036.0
2023-02-01,West South Central,13.84,16964.84
2023-02-01,East South Central,13.4,9625.93
2023-02-01,South Atlantic,14.67,27125.14
2023-02-01,West North Central,12.09,9145.57
2023-02-01,East North Central,16.25,14631.4
2023-02-01,Connecticut,34.35,999.82
2023-02-01,Colorado,14.34,1575.81
2023-02-01,California,27.26,6127.86
2023-02-01,Arkansas,11.99,1582.54
2023-02-01,Arizona,13.1,2323.36
2023-02-01,Alaska,22.86,178.54
2023-02-01,Alabama,15.29,2329.05
2023-02-01,Tennessee,12.61,3741.92
2023-02-01,South Dakota,11.51,517.09
2023-02-01,South Carolina,14.51,2244.4
2023-02-01,Rhode Island,29.1,232.88
2023-02-01,Pennsylvania,18.32,4527.97
2023-02-01,Texas,14.64,11440.52
2023-02-01,Middle Atlantic,20.09,10629.14
2023-02-01,New England,31.13,3974.81
2023-02-01,Wyoming,10.3,313.4
2023-02-01,Wisconsin,16.21,1869.93
2023-02-01,West Virginia,13.57,933.83
2023-02-01,Washington,10.7,3908.65
2023-02-01,Virginia,14.4,3611.2
2023-02-01,Vermont,20.27,198.88
2023-01-01,Alabama,14.36,2843.51
2023-01-01,Alaska,21.68,230.06
2023-01-01,Arizona,12.62,2727.2
2023-01-01,South Carolina,13.99,2797.18
2023-01-01,South Dakota,11.25,585.02
2023-01-01,Tennessee,12.11,4205.44
2023-01-01,Texas,14.19,12746.25
2023-01-01,Utah,10.65,951.89
2023-01-01,Vermont,19.95,214.28
2023-01-01,Virginia,14.03,4491.9
2023-01-01,Washington,10.48,4448.54
2023-01-01,West Virginia,13.09,1139.17
2023-01-01,Wisconsin,16.05,2110.9
2023-01-01,Wyoming,10.28,356.25
2023-01-01,New England,29.8,4400.16
2023-01-01,Middle Atlantic,19.88,12066.08
2023-01-01,East North Central,15.78,17008.14
2023-01-01,Arkansas,11.42,1829.99
2023-01-01,California,26.48,8065.23
2023-01-01,Colorado,14.2,1835.67
2023-01-01,Connecticut,30.27,1167.46
2023-01-01,Delaware,14.26,478.89
2023-01-01,District of Columbia,14.8,213.24
2023-01-01,Florida,14.93,10026.55
2023-01-01,Georgia,12.87,5303.83
2023-01-01,Hawaii,44.96,231.97
2023-01-01,West North Central,11.4,11125.92
2023-01-01,South Atlantic,14.01,32472.74
2023-01-01,East South Central,12.97,11243.23
2023-01-01,Idaho,10.58,1059.1
2023-01-01,Illinois,16.07,3908.89
2023-01-01,Indiana,15.43,3128.9
2023-01-01,Iowa,11.3,1572.14
2023-01-01,Kansas,12.97,1252.71
2023-01-01,Kentucky,12.68,2513.51
2023-01-01,Louisiana,11.94,2619.67
2023-01-01,Maine,24.1,484.22
2023-01-01,Maryland,15.97,2516.41
2023-01-01,West South Central,13.26,19327.95
2023-01-01,Mountain,12.78,9239.16
2023-01-01,Pacific Contiguous,19.48,14713.3
2023-01-01,Pacific Noncontiguous,33.37,462.03
2023-01-01,U.S. Total,15.47,132058.7
2023-01-01,Massachusetts,31.83,1816.75
2023-01-01,Michigan,17.99,2956.15
2023-01-01,Minnesota,13.08,2371.6
2023-01-01,Mississippi,13.18,1680.78
2023-01-01,Missouri,10.73,3552.47
2023-01-01,Montana,10.73,674.94
2023-01-01,Nebraska,9.35,1181.15
2023-01-01,Nevada,16.81,985.71
2023-01-01,New Hampshire,31.74,447.06
2023-01-01,New Jersey,16.91,2285.02
2023-01-01,New Mexico,13.53,648.42
2023-01-01,New York,23.6,4483.86
2023-01-01,North Carolina,12.67,5505.56
2023-01-01,North Dakota,9.91,610.83
2023-01-01,Ohio,14.32,4903.3
2023-01-01,Oklahoma,10.96,2132.04
2023-01-01,Oregon,12.04,2199.52
2023-01-01,Pennsylvania,18.01,5297.19
2023-01-01,Rhode Island,28.96,270.39
2022-12-01,Kansas,13.24,1211.88
2022-12-01,District of Columbia,15.05,198.26
2022-12-01,Delaware,14.61,468.3
2022-12-01,Connecticut,23.42,1221.01
2022-12-01,Colorado,14.15,1809.87
2022-12-01,Middle Atlantic,19.29,12210.68
2022-12-01,New England,26.96,4183.6
2022-12-01,Wyoming,10.38,347.86
2022-12-01,Wisconsin,15.01,2202.27
2022-12-01,West Virginia,12.75,1269.91
2022-12-01,Washington,10.04,4556.41
2022-12-01,U.S. Total,14.94,131401.7
2022-12-01,Pacific Noncontiguous,33.63,455.98
2022-12-01,Pacific Contiguous,18.18,13721.47
2022-12-01,Mountain,12.57,9199.72
2022-12-01,West South Central,13.58,18819.46
2022-12-01,East South Central,12.65,10545.61
2022-12-01,South Atlantic,13.3,33716.73
2022-12-01,West North Central,11.39,10900.06
2022-12-01,East North Central,15.5,17648.4
2022-12-01,South Dakota,11.22,563.42
2022-12-01,South Carolina,13.86,2882.64
2022-12-01,Rhode Island,27.52,257.31
2022-12-01,Pennsylvania,17.77,5519.85
2022-12-01,Oregon,11.13,2347.39
2022-12-01,Oklahoma,11.11,2151.64
2022-12-01,Ohio,13.97,4970.83
2022-12-01,North Dakota,9.63,633.9
2022-12-01,North Carolina,11.48,6080.68
2022-12-01,New York,22.78,4234.46
2022-12-01,New Mexico,13.34,636.89
2022-12-01,New Jersey,16.68,2456.36
2022-12-01,New Hampshire,30.88,420.32
2022-12-01,Nevada,14.96,984.62
2022-12-01,Nebraska,9.7,1130.47
2022-12-01,Montana,11.77,689.14
2022-12-01,Missouri,10.54,3500.58
2022-12-01,Mississippi,12.33,1493.93
2022-12-01,Iowa,11.25,1569.61
2022-12-01,Indiana,15.25,3216.2
2022-12-01,Illinois,15.98,4134.22
2022-12-01,Idaho,10.47,1129.63
2022-12-01,Hawaii,44.79,230.76
2022-12-01,Georgia,11.76,5417.9
2022-12-01,Florida,14.21,9713.82
2022-12-01,Virginia,13.81,4875.54
2022-12-01,Vermont,19.94,211.12
2022-12-01,Utah,10.47,983.36
2022-12-01,Texas,14.49,12631.77
2022-12-01,Tennessee,12.16,3672.66
2022-12-01,California,26.04,6817.68
2022-12-01,Arkansas,11.35,1640.5
2022-12-01,Arizona,12.57,2618.36
2022-12-01,Alaska,22.2,225.22
2022-12-01,Alabama,13.1,2861.6
2022-12-01,Minnesota,13.15,2290.19
2022-12-01,Michigan,17.91,3124.89
2022-12-01,Massachusetts,30.64,1630.96
2022-12-01,Maryland,15.53,2809.69
2022-12-01,Maine,22.44,442.88
2022-12-01,Louisiana,12.5,2395.54
2022-12-01,Kentucky,13.05,2517.42
2022-11-01,South Atlantic,13.7,26497.87
2022-11-01,Florida,13.98,9424.38
2022-11-01,District of Columbia,15.77,165.9
2022-11-01,Delaware,16.22,314.98
2022-11-01,Connecticut,23.91,923.13
2022-11-01,Colorado,14.55,1524.8
2022-11-01,California,25.52,6370.38
2022-11-01,Arkansas,12.41,1198.95
2022-11-01,Arizona,13.11,2113.33
2022-11-01,Alaska,23.14,186.21
2022-11-01,Pennsylvania,17.38,3994.71
2022-11-01,Oregon,11.51,1914.5
2022-11-01,Oklahoma,12.34,1595.66
2022-11-01,Ohio,14.63,3762.47
2022-11-01,North Dakota,10.58,461.37
2022-11-01,Alabama,14.83,2185.75
2022-11-01,New Jersey,16.19,1852.56
2022-11-01,New Hampshire,30.61,335.07
2022-11-01,Nevada,15.23,848.21
2022-11-01,Nebraska,10.58,765.7
2022-11-01,Montana,12.23,476.22
2022-11-01,Missouri,11.41,2537.58
2022-11-01,West North Central,12.44,7897.89
2022-11-01,East North Central,16.16,13416.58
2022-11-01,Middle Atlantic,19.47,9295.71
2022-11-01,New England,26.21,3392.63
2022-11-01,Wyoming,11.05,261.38
2022-11-01,Wisconsin,15.72,1703.61
2022-11-01,West Virginia,13.83,861.94
2022-11-01,Washington,10.34,3499.07
2022-11-01,Virginia,14.32,3246.4
2022-11-01,Vermont,20.74,166.58
2022-11-01,Utah,10.59,841.64
2022-11-01,Texas,15.01,10252.12
2022-11-01,Tennessee,12.81,2754.93
2022-11-01,South Dakota,11.98,405.35
2022-11-01,South Carolina,13.82,2181.57
2022-11-01,North Carolina,11.89,4312.11
2022-11-01,New York,23.66,3448.43
2022-11-01,New Mexico,13.85,536.01
2022-11-01,Rhode Island,28.62,212.53
2022-11-01,Mississippi,13.39,1169.08
2022-11-01,U.S. Total,15.55,103152.08
2022-11-01,Pacific Noncontiguous,34.52,414.36
2022-11-01,Pacific Contiguous,18.74,11783.96
2022-11-01,Mountain,12.91,7512.58
2022-11-01,West South Central,14.36,15016.04
2022-11-01,East South Central,13.7,7924.46
2022-11-01,Minnesota,14.18,1734.24
2022-11-01,Michigan,17.83,2514.74
2022-11-01,Massachusetts,28.07,1377.08
2022-11-01,Maryland,15.37,1948.47
2022-11-01,Maine,22.23,378.26
2022-11-01,Louisiana,13.82,1969.3
2022-11-01,Kentucky,13.87,1814.7
2022-11-01,Kansas,14.51,937.51
2022-11-01,Iowa,12.57,1056.14
2022-11-01,Indiana,15.94,2307.23
2022-11-01,Illinois,17.04,3128.53
2022-11-01,Idaho,9.98,910.99
2022-11-01,Hawaii,43.8,228.15
2022-11-01,Georgia,13.29,4042.12
2022-10-01,New Jersey,16.32,1633.91
2022-10-01,Alaska,23.66,159.03
2022-10-01,Alabama,15.02,2047.4
2022-10-01,Hawaii,44.72,248.58
2022-10-01,Georgia,14.06,3868.51
2022-10-01,Florida,14.19,10380.68
2022-10-01,District of Columbia,15.44,167.49
2022-10-01,Delaware,16.36,314.94
2022-10-01,Connecticut,24.98,837.56
2022-10-01,Colorado,14.8,1403.89
2022-10-01,California,25.76,6840.73
2022-10-01,Arkansas,12.8,1265.28
2022-10-01,Arizona,13.11,2775.69
2022-10-01,Pacific Contiguous,20.55,10615.24
2022-10-01,Mountain,13.35,7560.72
2022-10-01,West South Central,14.63,17139.3
2022-10-01,U.S. Total,15.99,99792.19
2022-10-01,East South Central,13.77,7690.47
2022-10-01,South Atlantic,14.16,25649.63
2022-10-01,Pacific Noncontiguous,36.5,407.6
2022-10-01,West North Central,13.15,6775.04
2022-10-01,East North Central,16.57,11878.44
2022-10-01,Middle Atlantic,19.61,8789.61
2022-10-01,New England,25.58,3286.14
2022-10-01,Wyoming,12.0,183.94
2022-10-01,Wisconsin,16.24,1510.33
2022-10-01,West Virginia,14.38,693.75
2022-10-01,Washington,10.62,2446.6
2022-10-01,Virginia,14.41,2792.06
2022-10-01,Vermont,20.91,153.53
2022-10-01,Utah,10.87,740.21
2022-10-01,Texas,14.94,12038.37
2022-10-01,Tennessee,12.94,2730.14
2022-10-01,South Dakota,13.18,328.68
2022-10-01,South Carolina,14.07,1992.28
2022-10-01,Rhode Island,24.6,201.5
2022-10-01,Pennsylvania,17.51,3604.82
2022-10-01,Oregon,11.99,1327.91
2022-10-01,North Dakota,11.75,330.08
2022-10-01,North Carolina,12.97,3728.81
2022-10-01,New York,23.26,3550.87
2022-10-01,New Mexico,14.36,499.66
2022-10-01,Oklahoma,14.27,1515.89
2022-10-01,Ohio,15.08,3300.52
2022-10-01,New Hampshire,30.43,306.39
2022-10-01,Nevada,15.19,1008.61
2022-10-01,Nebraska,11.86,649.47
2022-10-01,Montana,12.42,348.15
2022-10-01,Missouri,11.58,2179.24
2022-10-01,Mississippi,13.2,1322.23
2022-10-01,Minnesota,15.07,1496.65
2022-10-01,Michigan,18.28,2290.07
2022-10-01,Massachusetts,26.15,1447.27
2022-10-01,Maryland,15.84,1711.1
2022-10-01,Maine,22.97,339.89
2022-10-01,Louisiana,14.29,2319.75
2022-10-01,Kentucky,14.06,1590.7
2022-10-01,Kansas,14.95,894.25
2022-10-01,Iowa,13.43,896.68
2022-10-01,Indiana,16.7,2002.3
2022-10-01,Illinois,17.02,2775.22
2022-10-01,Idaho,11.19,600.57
2022-09-01,Tennessee,12.69,3826.82
2022-09-01,Oregon,11.78,1345.16
2022-09-01,Oklahoma,14.2,2191.69
2022-09-01,Ohio,14.94,3992.8
2022-09-01,Minnesota,15.53,1725.5
2022-09-01,Michigan,18.29,2675.71
2022-09-01,Massachusetts,27.56,1785.82
2022-09-01,Maryland,14.55,2061.56
2022-09-01,Maine,23.17,395.0
2022-09-01,North Dakota,13.06,310.58
2022-09-01,North Carolina,12.64,4817.81
2022-09-01,New York,23.95,4871.89
2022-09-01,New Mexico,14.98,610.83
2022-09-01,New Jersey,16.59,2417.14
2022-09-01,New Hampshire,32.26,360.78
2022-09-01,Nevada,13.77,1527.72
2022-09-01,Nebraska,12.02,851.36
2022-09-01,Montana,11.7,415.78
2022-09-01,Missouri,13.47,2864.86
2022-09-01,Mississippi,13.02,1737.28
2022-09-01,Louisiana,14.26,2906.25
2022-09-01,Kentucky,13.48,2050.57
2022-09-01,Kansas,14.6,1306.27
2022-09-01,Iowa,14.34,1078.48
2022-09-01,Indiana,14.99,2613.94
2022-09-01,Illinois,16.81,3714.87
2022-09-01,Idaho,10.47,650.29
2022-09-01,Hawaii,45.59,241.1
2022-09-01,Georgia,14.87,5119.43
2022-09-01,Florida,14.55,12890.22
2022-09-01,District of Columbia,13.96,220.44
2022-09-01,Delaware,14.18,464.47
2022-09-01,Connecticut,28.67,952.8
2022-09-01,Colorado,15.0,1748.79
2022-09-01,South Dakota,12.97,381.78
2022-09-01,South Carolina,14.5,2707.58
2022-09-01,Rhode Island,24.39,262.12
2022-09-01,Pennsylvania,17.06,4340.25
2022-09-01,California,25.96,10324.5
2022-09-01,Arkansas,13.21,1685.22
2022-09-01,Arizona,13.27,4121.31
2022-09-01,Alaska,23.18,142.62
2022-09-01,U.S. Total,16.19,129241.32
2022-09-01,Pacific Noncontiguous,37.26,383.72
2022-09-01,Pacific Contiguous,21.91,14168.29
2022-09-01,Mountain,13.28,10311.66
2022-09-01,West South Central,14.52,22782.85
2022-09-01,East South Central,13.65,10398.15
2022-09-01,South Atlantic,14.29,32403.8
2022-09-01,West North Central,13.99,8518.83
2022-09-01,East North Central,16.2,14729.91
2022-09-01,Middle Atlantic,19.85,11629.28
2022-09-01,New England,27.32,3914.82
2022-09-01,Wyoming,11.94,189.03
2022-09-01,Wisconsin,16.42,1732.59
2022-09-01,Alabama,15.48,2783.48
2022-09-01,West Virginia,14.03,699.86
2022-09-01,Washington,10.6,2498.63
2022-09-01,Virginia,14.58,3422.43
2022-09-01,Vermont,20.42,158.3
2022-09-01,Utah,11.38,1047.9
2022-09-01,Texas,14.75,15999.69
2022-08-01,Pacific Noncontiguous,37.49,391.37
2022-08-01,Nevada,13.56,1866.74
2022-08-01,Nebraska,11.62,1111.43
2022-08-01,Montana,11.53,511.33
2022-08-01,Missouri,13.96,3883.31
2022-08-01,Mississippi,12.33,2034.51
2022-08-01,Minnesota,15.26,2126.8
